(Almost) Original Fragment,Fragment,Tags,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"Of fate, thou hast vsurpt such power ouer man, That where thou pleadst thy will, no mortall can [resist].","Of fate, thou hast vsurpt such power ouer man, That where thou pleadst thy will, no mortall can [resist].",0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 1 1,mystical,politics,humanity,judiciary,mental faculty & state,life,resistance
black mischiefe hurrie me the way.,black mischiefe hurrie me the way.,1 1 1 1 1 1,colors,ethics,movement,spatial,,,
"No iarre of clocke, [wakes this charm'd silence],","No iarre of clocke, [wakes this charm'd silence],",0 1 0 1 1 0 1 1,sounds,time,sleep,mystical,,,
"no ominous hatefull howle Of any starting Hound, [wakes this charm'd silence], ","no ominous hatefull howle Of any starting Hound, [wakes this charm'd silence], ",0 1 1 1 0 0 1 1 1 0 1 1,ethics,emotions,sounds,animals,mystical,sleep,
"no hoarse cough breath'd from the entrals Of any drowsie Groom, wakes this charm'd silence, ","no hoarse cough breath'd from the entrals Of any drowsie Groom, wakes this charm'd silence, ",0 1 1 1 0 0 1 0 0 1 1 1 0 1 1,sounds,breathing,anatomy,social status,mystical,sleep,
"this generall silence forward stil, To make thy luste liue, all thy vertues kill.","this generall silence forward stil, To make thy luste liue, all thy vertues kill.",0 0 1 1 0 0 0 0 1 1 0 0 1 1,sounds,movement,sexuality,life,character traits & nature,violence,
"beneath these Curtaines lyes, That bright enchantresse that hath daz'd my eies.","beneath these Curtaines lyes, That bright enchantresse that hath daz'd my eies.",1 0 1 1 0 1 1 0 0 1 0 1,spatial,concealment,sleep,mystical,light,anatomy,
"With thought once to defile thy innocent sleepe,","With thought once to defile thy innocent sleepe,",0 1 0 0 1 0 1 1,mental faculty & state,sexuality,character traits & nature,sleep,,,
"in this brest, such [lustful] thoughts could finde no place, ","in this brest, such [lustful] thoughts could finde no place, ",0 0 1 1 1 1 0 1 0 1,anatomy,sexuality,mental faculty & state,discovering,spatial,,
[lustful thoughts] pay with treason her kind hospitall grace:,[lustful thoughts] pay with treason her kind hospitall grace,1 1 1 0 1 0 1 1 1,sexuality,mental faculty & state,economics,politics,character traits & nature,social relations,
"But I am lust-burnt, ","But I am lust burnt, ",0 0 0 1 1,sexuality,fire,,,,,
"there's no suspitious ear, That can bewray this deede [rape]","there's no suspitious ear, That can bewray this deede [rape]",0 0 1 1 0 0 1 0 1 1,character trait & nature,anatomy,discovering,sexuality,,,
"awake me, rid me from this terror,","awake me, rid me from this terror,",1 0 1 0 0 0 1,sleep,privation,emotions,,,,
"Pardon this dreame, ","Pardon this dreame, ",1 0 1,judiciary,mental faculty & state,,,,,
"my thoughts are all on fire,","my thoughts are all on fire,",0 1 0 0 0 1,mental faculty & state,fire,,,,,
"thou must imbrace death, or desire,","thou must imbrace death, or desire,",0 0 1 1 0 1,affection,death,sexuality,,,,
"I'me all impatience, violence and rage, And saue thy bed, nought cā this fire asswage","I'me all impatience, violence and rage, And saue thy bed, nought cā this fire asswage",0 0 1 1 0 1 0 0 0 1 1 0 0 1 1,character traits & nature,violence,emotions,sexuality,privation,fire,
By a God you sweare to doe a devils deede [rape],By a God you sweare to doe a devils deede [rape],0 0 1 0 1 0 0 0 1 1 1,religion,language,sexuality,,,,
"I keepe vnstained, The vnceaz'd honour I haue yet maintaind.","I keepe vnstained, The vnceaz'd honour I haue yet maintaind.",0 1 1 0 1 1 0 0 0 1,preservation,cleaning,hunting,sexuality,,,
thy adulterate bed.,thy adulterate bed.,0 1 1,sexuality,domestic,,,,,
"If all your gratious and best generous thoughts Be not exilde your heart,","If all your gratious and best generous thoughts Be not exilde your heart,",0 0 0 1 0 0 1 1 0 0 1 0 1,character traits & nature,mental faculty & state,politics,anatomy,,,
"this [vertues of a woman] once defilde, Not all the Ocean waues can purifie, Or wash my staine away,","this [vertues of a woman] once defilde, Not all the Ocean waues can purifie, Or wash my staine away,",1 1 1 1 1 0 1 0 0 0 1 1 0 1 0 1 0 1 0,character traits & nature,women,sexuality,nature,cleaning,,
to foil That [chastity] which the radiant splender of the Sunne Cannot make bright againe,to foil That [chastity] which the radiant splender of the Sunne Cannot make bright againe,0 1 1 1 0 0 1 1 0 0 1 0 0 1 1,violence,sexuality,light,nature,,,
"my teares! Oh thinke them pearled drops, destilled from the heart Of soule chaste Lucrece: ","my teares! Oh thinke them pearled drops, destilled from the heart Of soule chaste Lucrece ",0 1 0 0 0 1 1 1 0 0 1 0 1 1 0,anatomy,economics,alchemy,religion,sexuality,,
"thinke them [tears] Orators, To pleade the cause of absent Colatine, your friend","thinke them [tears] Orators, To pleade the cause of absent Colatine, your friend",0 1 1 1 0 1 0 0 0 1 0 0 1,anatomy,language,judiciary,privation,social relations,,
"I loose the honour of my name and blood,","I loose the honour of my name and blood,",0 1 0 1 0 0 1 0 1,privation,recognition,language,anatomy,,,
"You win the worlds shame,","You win the worlds shame,",0 1 0 1 1,recognition,politics,etiquette,,,,
"who would pleasure, buy at such deere rate","who would pleasure, buy at such deere rate",0 0 1 1 0 0 1 1,sexuality,economics,,,,,
"Nor can you terme it pleasure: for what's sweet, Where force & hate, iarre and contention meete?","Nor can you terme it pleasure for what's sweet, Where force & hate, iarre and contention meete?",0 0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 1,language,sexuality,food,violence,emotions,sounds,spatial
that [wrong] labour's not worth all your strife.,that [wrong] labour's not worth all your strife.,1 1 1 0 1 0 0 1,ethics,labor,economics,suffering,,,
all the world cannot make me amends.,all the world cannot make me amends.,0 0 1 0 0 0 1,nature,ethics,,,,,
But let these chast teares quench your fiery lust.,But let these chast teares quench your fiery lust.,0 0 0 1 1 1 0 1 1,character traits & nature,anatomy,consumption,sexuality,fire,,
"teares, contending with my fire, ","teares, contending with my fire, ",1 1 0 0 1,anatomy,violence,fire,,,,
"[tears] Quench not my heate, but make it climbe more higher:","[tears] Quench not my heate, but make it climbe more higher",1 1 0 0 1 0 0 0 1 0 1,anatomy,destruction,light,physical activities,spatial,,
[Rome] Shal blot thy death with scandal from my tungue.,[Rome] Shal blot thy death with scandal from my tungue.,1 0 1 0 1 0 1 0 0 1,politics,cleaning,death,etiquette,anatomy,,
I had better bee out of my life then in his displeasure,I had better bee out of my life then in his displeasure,0 0 0 0 1 1 1 1 0 1 0 1,death,feelings,spatial,,,,
"this sorrow Which yet is without blemish, what hath past [rape] Is hid from the worldes eye,","this sorrow Which yet is without blemish, what hath past [rape] Is hid from the worldes eye,",0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 1,emotions,ethics,sexuality,concealment,politics,anatomy,
pull not on my head The wrath of Rome,pull not on my head The wrath of Rome,1 0 1 0 1 0 1 0 1,violence,anatomy,emotions,politics,,,
"thy fame is without blot,","thy fame is without blot,",0 1 0 0 1,recognition,cleaning,,,,,
"thou only hast [possession] my hart,","thou only hast [possession] my hart,",0 0 1 1 0 1,economics,anatomy,,,,,
"let mischiefe frown, With all his terror arm'd with ominous fates, ","let mischiefe frown, With all his terror arm'd with ominous fates, ",0 1 1 0 0 0 1 1 0 1 1,ethics,facial expressions,emotions,weapons,mystical,,
"To all their spleenes a welcome Ile affoord, With this bold hart, strong hand, and my good sword.","To all their spleenes a welcome Ile affoord, With this bold hart, strong hand, and my good sword.",0 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0 1,anatomy,greetings,economics,character traits & nature,weapons,,
be my Lark and raise me with thy early notes.,be my Lark and raise me with thy early notes.,0 0 1 0 1 0 0 0 0 1,animals,sleep,music,,,,
"he is sicke of the sullens, ","he is sicke of the sullens, ",0 0 1 0 0 1,medicine,emotions,,,,,
"may I dye, not like a Roman, but a runagate.","may I dye, not like a Roman, but a runagate.",0 0 1 0 0 0 1 0 0 1,death,ethnicity,social status,,,,
"poore Pompy so ouer-labourde as I haue bin, ","poore Pompy so ouer labourde as I haue bin, ",0 1 0 1 1 0 0 0 0,historical,labor,,,,,
"I haue spurd my horse such a question, that hee's scarce able to wig or wag his taile for an answere, ","I haue spurd my horse such a question, that hee's scarce able to wig or wag his taile for an answere, ",0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1,equestrian,education,physical activities,anatomy,,,
with expeditious wings weel'e fly.,with expeditious wings weel'e fly.,0 1 1 0 1,movement,animals,,,,,
tune my humour to strange strains of mirth:,tune my humour to strange strains of mirth,1 0 1 0 1 1 0 1,music,mental faculty & state,suffering,emotions,,,
leaue me to the truest grief of heart That euer entred any Matrons brest,leaue me to the truest grief of heart That euer entred any Matrons brest,1 0 0 0 0 1 0 1 0 0 1 0 1 1,privation,emotions,anatomy,spatial,matrimony,,
why doe you staine Your modest cheekes with these offensiue teares?,why doe you staine Your modest cheekes with these offensiue teares?,0 0 0 1 0 1 1 0 0 1 1,cleaning,character traits & nature,anatomy,derision,,,
oh why Suffer you [Gods] such inhumane massacre On harmeles vertue? ,oh why Suffer you [Gods] such inhumane massacre On harmeles vertue? ,0 0 1 0 1 0 1 1 0 0 1,suffering,religion,ethics,violence,character traits & nature,,
"[Gods] forgiue white innocence, Armor of proofe gainst sinne: ","[Gods] forgiue white innocence, Armor of proofe gainst sinne ",1 1 1 1 1 0 1 0 1,religion,judiciary,colors,character traits & nature,weapons,,
"oh you powerfull Gods […] by oppression Kill Vertue quite, & guerdon base transgression?","oh you powerfull Gods […] by oppression Kill Vertue quite, & guerdon base transgression?",0 0 0 1 0 0 1 1 1 0 0 1 0 1,religion,politics,violence,ethics,economics,judiciary,
"to this shame be born, To be a staine to women, natures scorne? ","to this shame be born, To be a staine to women, natures scorne? ",0 0 1 0 1 0 0 0 1 0 1 1 1,etiquette,reproduction,cleaning,women,nature,derision,
in that blush my guilt thou didst betray,in that blush my guilt thou didst betray,0 0 1 0 1 0 0 1,facial expressions,judiciary,social relations,,,,
"Disgrace, no time, no age can wipe away","Disgrace, no time, no age can wipe away",1 0 1 0 1 0 1 1,etiquette,time,cleaning,,,,
"Being no more a woman, I am now Deuote to death, and an inhabitant Of th'other world","Being no more a woman, I am now Deuote to death, and an inhabitant Of th'other world",0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1,women,devotion,death,accomodation,religion,,
"these eyes must euer weepe, Till fate hath closde them with eternall sleepe.","these eyes must euer weepe, Till fate hath closde them with eternall sleepe.",0 1 0 1 1 0 1 0 1 0 0 1 1,anatomy,emotions,mystical,spatial,sleep,time,
Why is your eye deiect and drown'd in sorrow?,Why is your eye deiect and drown'd in sorrow?,0 0 0 1 1 0 1 0 1,anatomy,feelings,violence,emotions,,,
"Why doost thou hide thy face? & with thy hand Darken those eies that were my Sunnes of joy, To make my pleasures florish in the Spring?","Why doost thou hide thy face? & with thy hand Darken those eies that were my Sunnes of joy, To make my pleasures florish in the Spring?",0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 1,concealment,anatomy,darkness,nature,emotions,feelings,
"you are hem'd in with your friendes, Girt in a pale of safety, environ'd and cirkled in a fortresse of your kindred,","you are hem'd in with your friendes, Girt in a pale of safety, environ'd and cirkled in a fortresse of your kindred,",0 0 1 1 0 0 1 1 0 0 1 0 1 1 0 1 0 0 1 0 0 1,spatial,social relations,geography,danger,architecture,familial,
"Let not those drops fall fruiteles to the ground, ","Let not those drops fall fruiteles to the ground, ",1 1 0 1 1 1 0 0 1,resistance,anatomy,destruction,agriculture,nature,,
Nor let your sighes ad to the sencelesse winde.,Nor let your sighes ad to the sencelesse winde.,1 1 0 1 0 0 0 1 1,resistance,sounds,sensations,nature,,,
My reputation mangled,My reputation mangled,0 1 1,recognition,violence,,,,,
"Strange steps are found in my adulterate bed,","Strange steps are found in my adulterate bed,",1 1 0 1 0 0 1 1,social relations,movement,discovering,sexuality,domestic,,
"though my thoughts be white as innocence, ","though my thoughts be white as innocence, ",0 0 1 0 1 0 1,mental faculty & state,colors,judiciary,,,,
"Yet is my body soild with lust burnd sinne,","Yet is my body soild with lust burnd sinne,",0 0 0 1 1 0 1 1 1,anatomy,cleaning,sexuality,fire,religion,,
"in dead of night,","in dead of night,",0 1 0 1,death,darkness,,,,,
"to make me hated […], Rauisht and kild me at once","to make me hated […], Rauisht and kild me at once",0 0 0 1 0 1 0 1 0 0 1,emotions,sexuality,death,time,,,
"Vow & sweare, as you hope meed for merrit from the Gods ","Vow & sweare, as you hope meed for merrit from the Gods ",1 0 1 0 0 1 1 0 1 0 0 1,language,emotions,food,recognition,religion,,
"[Vow & sweare] Or feare reward for sinne, from deuils below:","[Vow & sweare] Or feare reward for sinne, from deuils below",1 0 1 0 1 1 0 1 0 1 1,language,emotions,economics,religion,spatial,,
"My staine I thus [with death] wipe off,","My staine I thus [with death] wipe off,",0 1 0 1 1 1 1 1,cleaning,death,,,,,
"crowne my innocence, With your best thoughts, ","crowne my innocence, With your best thoughts, ",1 0 1 0 0 0 1,politics,judiciary,mental faculty & state,,,,
We are the same in heart we seeme in show.,We are the same in heart we seeme in show.,0 0 0 0 0 1 0 0 0 1,anatomy,appearance,,,,,
"turne your funerall teares to fire and indignation, ","turne your funerall teares to fire and indignation, ",1 0 1 1 0 1 0 1,transformation,death,anatomy,fire,resistance,,
"redeeme Our misspent time, ","redeeme Our misspent time, ",1 0 1 1,economics,time,,,,,
"and ouer take our sloath With hostile expedition, ","and ouer take our sloath With hostile expedition, ",0 1 1 0 1 0 1 1,hunting,character traits & nature,violence,,,,
"This bloody knife, on which her chast blood flower, ","This bloody knife, on which her chast blood flower, ",0 1 1 0 0 0 1 1 1,weapons,anatomy,character traits & nature,nature,,,
eyes yet drown'd in teares,eyes yet drown'd in teares,1 0 1 0 1,anatomy,violence,,,,,
"that horrid obiect [corpse], Shall kindle them with a most iust reuenge.","that horrid obiect [corpse], Shall kindle them with a most iust reuenge.",0 0 1 1 0 1 0 0 0 0 1 1,death,fire,judiciary,violence,,,
"that Monster, Tullia the Queene, ","that Monster, Tullia the Queene, ",0 1 1 0 1,deformities,politics,,,,,
expell This viperous broode from Rome,expell This viperous broode from Rome,1 0 1 1 0 1,politics,animals,familial,,,,
the people Will gladly imbrace our fortunes,the people Will gladly imbrace our fortunes,0 1 0 1 1 0 1,politics,feelings,affection,mystical,,,
"Turne all your teares with ours, to wrath and rage,","Turne all your teares with ours, to wrath and rage,",1 0 0 1 0 0 0 1 0 1,transformation,anatomy,emotions,,,,
The hearts of all the Tarquins [rulers] shall weep blood,The hearts of all the Tarquins [rulers] shall weep blood,0 1 0 0 0 1 1 0 1 1,anatomy,politics,emotions,,,,
